kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_slogg,koi_kepmag
10797460,K00752.01,2,1.0,2.3502351379506896,1.1817271953786161,6.677083461247136,4.549551762225079,5455.0,0.6559643894322293,4.467,15.347
10797460,K00752.02,2,0.969,4.014911356403454,1.3428648031925547,6.095824562432225,2.3135250330323798,5455.0,0.6559643894322293,4.467,15.347
10811496,K00753.01,1,0.0,3.039708007406348,2.747270914255491,6.459904454377535,3.696351468952637,5853.0,0.6248683398066509,4.544,15.436
10848459,K00754.01,0,0.0,1.0068450579675676,3.5397992310997837,7.241366283322318,6.7945417870401235,5805.0,0.5827741230785748,4.564,15.597
10854555,K00755.01,2,1.0,1.2600483021739617,1.3217558399823195,7.249215057114389,6.832126150456476,6031.0,0.7158866675294348,4.438,15.509
10872983,K00756.01,2,1.0,2.492735965551391,1.589235205116581,6.728628613084702,4.751950917196286,6046.0,0.6790482561804436,4.486,15.714
10872983,K00756.02,2,1.0,1.635969831487176,1.3270750014599193,7.057036981697891,6.060640735124765,6046.0,0.6790482561804436,4.486,15.714
10872983,K00756.03,2,0.992,1.2716096684503242,0.9516578757114464,7.215975002651466,6.695477480978234,6046.0,0.6790482561804436,4.486,15.714
6721123,K00114.01,0,0.0,2.123672468781356,3.6941157209091826,7.202661196523238,6.644076150459651,6227.0,1.0845133642886082,3.986,12.66
10910878,K00757.01,2,1.0,2.8372432565694368,1.9110228900548727,6.398594934535208,3.457892725338701,5031.0,0.6141039732194925,4.485,15.841
11446443,K00001.01,2,0.811,1.244331344043603,2.641910398597665,7.200424892944957,6.636550048089151,5820.0,0.6749832099322741,4.457,11.338
6922244,K00010.01,2,0.998,1.509064590913013,2.7466296830696852,7.3277805384216315,7.143356905218376,6225.0,0.8964961045459755,4.169,13.563
10984090,K00112.02,2,1.0,1.5495210372059527,0.7701082216960736,7.095893221097532,6.217523843503089,5833.0,0.7040871205982797,4.407,12.772
10419211,K00742.01,0,0.0,2.527442859321793,5.020651629371744,6.625392368007956,4.342245764662037,5795.0,0.6141039732194925,4.554,15.472
10464078,K00743.01,0,0.0,3.0157279096737497,2.1016921506146558,6.261491684321042,2.9279886214674717,5043.0,0.5187937934151675,4.591,15.487
10480982,K00744.01,0,0.0,3.0067409027267433,3.9178062501838733,6.54965074223381,4.042524813492304,6117.0,0.6662897263900626,4.496,15.341
10485250,K00745.01,0,0.0,2.86047583618068,2.190535589185423,6.39024066706535,3.421326752957321,5152.0,0.5799784824543073,4.517,15.788
10526549,K00746.01,2,1.0,2.329575719711571,1.244154593958768,6.476972362889683,3.7577056450437887,4856.0,0.5282725373697112,4.583,15.302
10583066,K00747.01,2,1.0,1.9500875956481645,1.3480731482996928,6.520621127558696,3.9326096390365346,4537.0,0.5140205146625099,4.648,15.784
10583180,K00748.01,0,0.0,1.307351433383305,0.9477893989335261,6.9726062513017535,5.7246955962364074,4989.0,0.5982868995359851,4.504,15.269
10601284,K00749.01,2,1.0,1.8483845457115093,1.2669476034873244,6.824373670043086,5.135739611790679,5185.0,0.6471032420585384,4.44,15.416
10601284,K00749.02,2,0.98,1.5975783064946916,0.9932517730102833,6.926577033222725,5.537924643892912,5185.0,0.6471032420585384,4.44,15.416
10601284,K00749.03,2,0.971,2.2092682129471237,0.832909122935104,6.68586094706836,4.585273554273635,5185.0,0.6471032420585384,4.44,15.416
2306756,K00113.01,0,0.4808294015396076,5.959981756146585,3.7495040759303713,5.697093486505405,1.0438040521731147,5543.0,0.9477893989335261,4.081,12.394
10662202,K00750.01,2,1.0,3.121350839110908,1.3737155789130306,6.274762021241939,2.97756830292632,4954.0,0.6032224730319583,4.5,15.377
10682541,K00751.01,2,1.0,1.7912226051423177,1.3297240096314962,6.822197390620491,5.123666316058301,5339.0,0.6135627012171029,4.552,15.861
11460018,K00769.01,2,1.0,1.6641085818245085,1.1939224684724346,6.920671504248683,5.5169306717757145,5644.0,0.6048622656923737,4.564,15.356
11463211,K00770.01,0,0.0,0.9188291433798816,1.7101878155342434,7.2813856635702825,6.961409783517629,5714.0,0.6048622656923737,4.563,15.525
11465813,K00771.01,0,0.0,6.509730717723765,2.717340248009303,5.2832037287379885,0.3001045924503381,5520.0,0.6846108495376588,4.466,15.207
11493732,K00772.01,0,0.0,4.131260743775976,3.7103962975761857,6.226536669287466,2.799108932049177,6144.0,0.7376424204464965,4.402,15.25
11507101,K00773.01,2,1.0,3.6731958214003435,1.3402504226184837,6.272877006546167,2.9719517448885875,5481.0,0.7109870986882764,4.369,15.172
10910878,K00757.02,2,0.992,3.742355172006892,1.5810384379124023,6.0867747269123065,2.278292400425001,5031.0,0.6141039732194925,4.485,15.841
10910878,K00757.03,2,1.0,1.9814099714869908,1.2947271675944,6.714170529909472,4.694096395182493,5031.0,0.6141039732194925,4.485,15.841
10987985,K00758.01,2,1.0,2.833982706256498,1.410986973710262,6.386879319362645,3.4114776910697118,5015.0,0.6021277821727766,4.499,15.39
11018648,K00759.01,2,1.0,3.515381853060713,1.4724720573609429,6.2285110035911835,2.806386101823072,5586.0,0.5866749360494286,4.56,15.082
11018648,K00759.02,2,0.978,4.530158734127158,1.1378330018213911,5.886104031450156,1.5933085305042167,5586.0,0.5866749360494286,4.56,15.082
11138155,K00760.01,2,1.0,1.7849562537481962,2.580974118534234,7.00669522683704,5.859075359062237,5712.0,0.7333289701927772,4.359,15.263
11152159,K00761.01,0,0.0,1.3086808134176477,2.020222182019865,7.109062135687172,6.270629199099972,5550.0,0.6471032420585384,4.468,15.54
11153539,K00762.01,2,1.0,1.7045235415742663,1.1314021114911006,7.033506484287697,5.967735220408745,6075.0,0.6775257996569886,4.486,15.395
11242721,K00763.01,0,0.0,3.0277738893624906,2.5967461315435356,6.594413459749778,4.219948784356969,6074.0,0.7241612340891147,4.391,15.536
9579641,K00115.01,2,1.0,1.8582030382028938,1.3711807233098425,6.9975959829819265,5.825055708774077,5779.0,0.7357276280950636,4.339,12.791
11304958,K00764.01,2,0.998,3.7480815733590425,1.8718021769015913,6.248042874508429,2.8746939451769347,5468.0,0.7158866675294348,4.367,15.4
11391957,K00765.01,2,1.0,2.235792858685056,1.2584609896100056,6.673297967767654,4.531523645819793,5592.0,0.5805382361772911,4.582,15.317
11403044,K00766.01,2,1.0,1.63423656271935,1.691939133945844,7.126087273299125,6.339212261646723,6174.0,0.7433648967205627,4.417,15.506
11414511,K00767.01,2,1.0,1.3393350572025033,2.580974118534234,7.106606137727303,6.257916599022385,5532.0,0.670390193437329,4.452,15.052
11442465,K00768.01,0,0.0,3.553452966072751,2.1210632163706555,6.066108090103747,2.209372711271867,5040.0,0.5335651107354801,4.628,15.716
12110942,K00786.01,2,1.0,1.5454155458525114,1.0612565021243408,7.045776576879511,6.016132769157005,5880.0,0.6507614640635074,4.518,15.242
12366084,K00787.01,2,1.0,1.692167190443588,1.4469189829363254,7.007600613951853,5.86428437131023,5714.0,0.7006191953986463,4.428,15.367
12366084,K00787.02,2,1.0,2.51603136612256,1.599387576580599,6.693323668269949,4.611947170267115,5714.0,0.7006191953986463,4.428,15.367
12404086,K00788.01,2,1.0,3.3103360200745753,1.4036429994545037,6.194405391104672,2.673458756332591,5129.0,0.5670169034157332,4.595,15.234
8395660,K00116.01,2,1.0,2.679018346286148,1.2919836816486494,6.666956792429207,4.5065645822339695,5854.0,0.6991292522374928,4.406,12.882
